# Rime user dictionary
#@/db_name	clover
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	6846
#@/user_id	4267ddf1-3dbe-4b05-ba14-7f437c90ceff
a 	啊	c=43 d=1.75151 t=6237
na 	那	c=16 d=1.5163 t=6836
na 	钠	c=1 d=1 t=2154
na bu hui 	那不会	c=1 d=1 t=6085
na dao 	那倒	c=0 d=0.1 t=1190
na dao bu zhi yu 	那倒不至于	c=1 d=1 t=1191
na ge 	那个	c=9 d=1.16725 t=4836
na hai 	那还	c=1 d=1.00276 t=2084
na hai shi 	那还是	c=1 d=1 t=1367
na hang 	哪行	c=1 d=1 t=68
na ken ding 	那肯定	c=1 d=1 t=2136
na lai 	拿来	c=2 d=1.00009 t=3473
na lai 	那来	c=2 d=1.99501 t=5161
na li 	哪里	c=3 d=1.04537 t=3819
na me 	那么	c=1 d=1 t=3177
na me xiao 	那么小	c=1 d=1 t=4572
na na 	娜娜	c=1 d=1 t=1861
na ni 	那你	c=1 d=1 t=6818
na ni lai 	那你来	c=1 d=1 t=861
na shi 	那是	c=1 d=1 t=2373
na wo 	那我	c=1 d=1 t=3757
na xiao 	那小	c=0 d=0.1 t=440
na xiao chuan 	那小船	c=1 d=1 t=441
na yang 	那样	c=1 d=1 t=689
na ye 	那也	c=1 d=1 t=2181
na zhong 	那种	c=3 d=1.02938 t=3861
nai 	奶	c=5 d=1.84286 t=6693
nai 	耐	c=1 d=1 t=3501
nai cha 	奶茶	c=2 d=1.94176 t=4372
nai gou 	奶狗	c=2 d=1.75201 t=2582
nai weng 	乃翁	c=0 d=0.1 t=241
nan 	南	c=1 d=1 t=238
nan 	男	c=1 d=1.02491 t=6616
nan 	难	c=1 d=1 t=2019
nan de 	难得	c=2 d=1 t=5070
nan du 	难度	c=2 d=1.98511 t=2549
nan hai 	男孩	c=1 d=1 t=4437
nan han 	南韩	c=1 d=1 t=6797
nan he 	难喝	c=1 d=1 t=4362
nan jing 	南京	c=1 d=1 t=4155
nan ren 	男人	c=2 d=1.00079 t=6595
nan sheng 	男生	c=2 d=1.97045 t=4848
nan tou 	南投	c=1 d=1 t=4804
nan tui you 	男推油	c=1 d=1 t=6339
nan xing 	男性	c=4 d=1.96079 t=4870
nao 	脑	c=1 d=1 t=2623
nao bu 	脑补	c=1 d=1 t=5101
nao chou 	脑抽	c=1 d=1 t=2460
nao kong 	脑控	c=1 d=1 t=2684
nao zhong 	脑中	c=1 d=1 t=3096
nao zi 	脑子	c=3 d=1.00002 t=5676
ne 	呢	c=9 d=1.00019 t=6529
ne ge 	呢个	c=1 d=1 t=2478
nei 	内	c=2 d=1.03858 t=2825
nei tai 	内胎	c=1 d=1 t=5473
neng 	能	c=16 d=1.12221 t=6808
neng chang qi 	能长期	c=1 d=1 t=2423
neng cong 	能从	c=1 d=1 t=5063
neng he 	能和	c=1 d=1 t=3377
neng he 	能喝	c=1 d=1 t=1660
neng kao 	能靠	c=1 d=1 t=179
neng li 	能力	c=1 d=1 t=884
neng lian wang 	能联网	c=1 d=1.08511 t=1193
neng liang 	能量	c=2 d=1.81058 t=5722
neng sui bian 	能随便	c=1 d=1 t=754
neng wang ji 	能忘记	c=1 d=1 t=3476
neng ya 	能呀	c=2 d=1.99501 t=3508
neng you 	能有	c=1 d=1.00006 t=3653
neng you yong 	能有用	c=1 d=1 t=2156
neng zuo 	能做	c=1 d=1 t=6271
ni 	你	c=37 d=5.29718 t=6846
ni ba 	你把	c=1 d=1 t=4397
ni bu 	你不	c=1 d=1 t=280
ni bu shi 	你不是	c=3 d=1.00001 t=5426
ni bu zhi dao 	你不知道	c=1 d=1 t=5439
ni chang chi 	你常吃	c=1 d=1 t=9
ni chi 	你吃	c=1 d=1 t=5933
ni chi fan 	你吃饭	c=1 d=1 t=5928
ni dao 	你到	c=0 d=0.1 t=57
ni dao shi 	你到时	c=1 d=1 t=58
ni de 	你的	c=1 d=1 t=473
ni deng zhe 	你等着	c=1 d=1 t=4591
ni dian zan 	你点赞	c=1 d=1 t=1055
ni dou 	你都	c=0 d=0.1 t=496
ni dou xiang qu 	你都想去	c=1 d=1 t=497
ni dui ni 	你对你	c=1 d=1 t=4488
ni gai 	你改	c=0 d=0.1 t=268
ni gai ming 	你改名	c=1 d=1 t=269
ni gong 	泥工	c=2 d=1.98511 t=2863
ni hai shi 	你还是	c=1 d=1 t=3778
ni hao 	你好	c=2 d=1.00053 t=2996
ni ji de 	你记得	c=1 d=1 t=13
ni jiao wo 	你教我	c=1 d=1 t=4566
ni jiu 	你就	c=1 d=1 t=2066
ni jiu shi 	你就是	c=1 d=1 t=321
ni kan 	你看	c=3 d=1.07654 t=6610
ni kan kan 	你看看	c=1 d=1 t=6782
ni kan kan ni 	你看看你	c=1 d=1 t=4493
ni ke yi 	你可以	c=2 d=1 t=4080
ni ken ding 	你肯定	c=1 d=1 t=6256
ni kuai 	你快	c=0 d=0.1 t=957
ni kuai xie 	你快写	c=1 d=1 t=958
ni lai 	你来	c=2 d=1.14615 t=962
ni lai dang 	你来当	c=1 d=1 t=647
ni men 	你们	c=2 d=1.00535 t=4615
ni men lia 	你们俩	c=1 d=1 t=351
ni men shi 	你们是	c=1 d=1 t=2052
ni mu di 	你目的	c=1 d=1 t=723
ni na 	你那	c=1 d=1 t=277
ni na ge 	你那个	c=2 d=1.08291 t=3050
ni que shi 	你确实	c=1 d=1 t=4613
ni rang 	你让	c=1 d=1 t=5925
ni shi 	你是	c=7 d=1.00002 t=6704
ni shi bu shi 	你是不是	c=1 d=1 t=37
ni shi he 	你适合	c=1 d=1 t=6153
ni shi kan le 	你是看了	c=1 d=1 t=6168
ni shi shei 	你是谁	c=3 d=1.00222 t=3751
ni shi wei le 	你是为了	c=0 d=0.1 t=5921
ni shi zha 	你使诈	c=1 d=1 t=593
ni shuo de 	你说的	c=1 d=1 t=440
ni tou xiang 	你头像	c=1 d=1 t=1068
ni xi huan 	你喜欢	c=1 d=1 t=500
ni xian 	你先	c=1 d=1 t=348
ni xiong da 	你胸大	c=1 d=1 t=961
ni yan jing 	你眼睛	c=1 d=1 t=3353
ni yao 	你要	c=3 d=1.13866 t=4190
ni yao de 	你要的	c=1 d=1 t=2361
ni ye 	你也	c=1 d=0.100676 t=1609
ni ye gai 	你也改	c=1 d=1 t=310
ni ye lai 	你也来	c=0 d=0.1 t=589
ni ye lai lian 	你也来练	c=1 d=1 t=590
ni ye shi shi 	你也试试	c=2 d=1.0696 t=2143
ni yi qian 	你以前	c=1 d=1 t=4150
ni yong 	你用	c=0 d=0.1 t=232
ni you 	你又	c=0 d=0.1 t=3071
ni you bu zai 	你又不在	c=1 d=1 t=3072
ni zai 	你在	c=1 d=1 t=4743
ni zen me 	你怎么	c=2 d=1.00007 t=3812
ni zhao 	你找	c=0 d=0.1 t=4106
ni zhao ge 	你找个	c=1 d=1 t=4107
ni zhe 	你这	c=1 d=1 t=3763
ni zhe shi 	你这是	c=1 d=1 t=3993
ni zhong you wo 	你中有我	c=1 d=1 t=4693
ni zi ji 	你自己	c=1 d=1 t=6102
ni zui jin 	你最近	c=2 d=1.00005 t=6699
nian 	年	c=3 d=1.00001 t=5289
nian di 	年底	c=3 d=1.00001 t=5372
nian fei 	年费	c=3 d=2.69197 t=3369
nian jin 	年金	c=1 d=1 t=1226
nian qing 	年轻	c=2 d=1.00005 t=3963
nian ya 	碾压	c=1 d=1 t=6009
nian ye 	粘液	c=2 d=1.97531 t=1941
nian zi 	年资	c=1 d=1 t=4407
niao 	鸟	c=1 d=0.114336 t=3244
niao dao 	尿道	c=1 d=1 t=4616
nie 	捏	c=6 d=2.09313 t=6667
nie lao shi 	捏老师	c=1 d=1 t=6335
nie rong zhen 	聂荣臻	c=1 d=1 t=3969
ning 	宁	c=0 d=0.1 t=1365
ning meng 	柠檬	c=1 d=1 t=2529
niu 	牛	c=1 d=1 t=4197
niu nai 	牛奶	c=2 d=1.00261 t=5558
niu wei 	牛尾	c=1 d=1 t=4205
nong 	弄	c=2 d=1.00375 t=6732
nong du 	浓度	c=1 d=1 t=6315
nong hao 	弄好	c=0 d=0.1 t=5406
nong hao le 	弄好了	c=1 d=1 t=5407
nong le ge 	弄了个	c=1 d=1 t=5603
nv 	女	c=2 d=1.40657 t=4574
nv sheng 	女生	c=5 d=1.00015 t=6603
nv shi 	女士	c=2 d=1.48191 t=6663
nv tui you 	女推油	c=1 d=1 t=1059
o 	哦	c=6 d=1.06514 t=6167
o o 	哦哦	c=1 d=1 t=4439
ou er 	偶尔	c=2 d=1.00014 t=2072
ou ran 	偶然	c=1 d=1 t=1784
ou yang na na 	欧阳娜娜	c=1 d=1 t=1747
pa 	怕	c=1 d=1 t=6123
pa zhe 	趴着	c=1 d=1 t=5368
pai 	排	c=1 d=1 t=4296
pai 	派	c=1 d=1 t=6813
pai zi 	牌子	c=1 d=1 t=5308
pan duan chu 	判断出	c=1 d=1 t=3090
pang bian 	旁边	c=1 d=1 t=3689
pao 	泡	c=1 d=1 t=6287
pao 	袍	c=1 d=1 t=151
pao 	跑	c=1 d=1 t=2998
pao bu 	跑步	c=1 d=1 t=2491
pao le 	泡了	c=1 d=1 t=6306
pao qi 	抛弃	c=1 d=1 t=1257
pao qu 	跑去	c=1 d=1 t=1109
pei bi 	配比	c=2 d=1.89583 t=799
pei chang 	赔偿	c=1 d=1 t=3066
pei gen 	培根	c=1 d=1 t=3525
pei yang 	培养	c=1 d=1 t=5295
pei zhi 	配置	c=1 d=1 t=5362
pen 	喷	c=1 d=1 t=6820
pen she 	喷射	c=1 d=1 t=870
pen wu 	喷雾	c=1 d=1 t=95
peng 	碰	c=1 d=1 t=2988
peng qi 	碰气	c=2 d=1.0305 t=5139
peng you 	朋友	c=1 d=1 t=2934
pi 	批	c=2 d=1.97045 t=5142
pi fu 	皮肤	c=3 d=1.0003 t=5831
pi fu ke 	皮肤科	c=1 d=1 t=3940
pi gu 	屁股	c=3 d=1.00087 t=4569
pi li 	霹雳	c=1 d=1 t=3809
pi yan 	屁眼	c=2 d=2.0361 t=1285
pi yan zhong 	屁眼肿	c=1 d=1 t=1286
pian 	篇	c=1 d=1 t=319
pian jia ming 	片假名	c=1 d=1 t=597
pian yi 	便宜	c=0 d=0.100003 t=5654
pian yi dian 	便宜点	c=1 d=1 t=3210
pian yi duo le 	便宜多了	c=1 d=1 t=3550
pian yi duo shao 	便宜多少	c=1 d=1 t=5655
piao ji 	嫖妓	c=1 d=1 t=4471
piao ling 	嘌呤	c=1 d=1 t=5498
pin 	拼	c=1 d=1 t=3438
pin fu fen hua 	贫富分化	c=1 d=1 t=3252
pin lv 	频率	c=1 d=1 t=1700
ping 	平	c=1 d=1 t=5287
ping fang 	平方	c=1 d=1 t=6047
ping heng 	平衡	c=2 d=1.78663 t=6222
ping jun 	平均	c=2 d=1.96561 t=552
ping shi 	平时	c=1 d=1 t=1491
po 	坡	c=1 d=1 t=5389
po chan 	破产	c=1 d=1 t=1218
po hai 	迫害	c=1 d=1 t=2375
pu 	普	c=0 d=0.1 t=3940
pu re xi tong 	扑热息痛	c=1 d=1 t=1713
pu tong 	普通	c=2 d=1 t=6742
pu tong de 	普通的	c=3 d=1 t=6212
pu tong ke 	普同科	c=1 d=1 t=3941
qi 	七	c=1 d=1 t=4651
qi 	器	c=1 d=1 t=1772
qi 	期	c=0 d=0.1 t=4326
qi 	起	c=3 d=1 t=6506
qi 	骑	c=3 d=1.68065 t=6242
qi ba 	七八	c=1 d=1 t=2949
qi bu 	起步	c=1 d=1 t=6721
qi bu lai 	起不来	c=1 d=1 t=6768
qi chu 	七出	c=1 d=1 t=4653
qi chuang 	起床	c=1 d=1 t=668
qi dan che 	骑单车	c=1 d=1 t=6125
qi dian 	起点	c=1 d=1 t=959
qi e 	企鹅	c=1 d=1 t=1031
qi fu 	欺负	c=1 d=1 t=2855
qi fu wo 	欺负我	c=1 d=1 t=248
qi guai le 	奇怪了	c=0 d=0.1 t=1072
qi jian 	期间	c=1 d=1 t=2252
qi lai 	起来	c=1 d=1.00113 t=3058
qi lai chi a 	起来吃啊	c=1 d=1 t=2162
qi le wu qiong 	其乐无穷	c=2 d=1.00001 t=6580
qi pian 	欺骗	c=0 d=0.1 t=1123
qi pian gan qing 	欺骗感情	c=1 d=1 t=1124
qi qi guai guai 	奇奇怪怪	c=1 d=1.07045 t=428
qi qi guai guai de 	奇奇怪怪的	c=1 d=1 t=429
qi shi 	其实	c=6 d=1.00007 t=4442
qi shi 	歧视	c=1 d=1 t=4589
qi shi er 	七十二	c=1 d=1 t=2797
qi ta 	其他	c=1 d=1 t=3237
qi te 	奇特	c=0 d=0.1 t=6113
qi xian 	期限	c=1 d=1 t=6504
qi xiao 	奇效	c=1 d=1 t=133
qi xin ke zhu 	其心可诛	c=1 d=1 t=5924
qi zhi 	弃置	c=4 d=1.04192 t=5627
qi zhi qian 	骑之前	c=1 d=1 t=6243
qi zhong 	其中	c=1 d=1 t=6493
qian 	前	c=0 d=0.1 t=300
qian 	钱	c=1 d=1 t=1652
qian gua 	牵挂	c=0 d=0.1 t=2937
qian gua le 	牵挂了	c=1 d=1 t=2938
qian ji 	前几	c=0 d=0.1 t=1587
qian ji zuo 	前几作	c=1 d=1 t=1588
qian lao ban 	前老板	c=1 d=1 t=301
qian liang tian 	前两天	c=1 d=1 t=937
qian ming 	签名	c=1 d=1 t=3361
qian shu 	签署	c=1 d=1 t=6481
qian shui 	潜水	c=1 d=1 t=3294
qian xue sen 	钱学森	c=4 d=2.30816 t=1154
qian yi ge 	前一个	c=1 d=1 t=5971
qian zhe 	前者	c=1 d=1 t=4063
qian zheng 	签证	c=1 d=1 t=5405
qiang 	墙	c=3 d=1.99501 t=3658
qiang 	强	c=1 d=1 t=5315
qiang jia 	强加	c=2 d=1.44933 t=6536
qiang qiang 	强强	c=1 d=1 t=3672
qiang xing 	强行	c=1 d=1 t=3466
qiao duo tian gong 	巧夺天工	c=1 d=1 t=1125
qiao miao 	巧妙	c=1 d=1 t=1383
qiao shang 	桥上	c=1 d=1 t=2795
qie 	切	c=1 d=1 t=2844
qie huan 	切换	c=1 d=1 t=2619
qin 	亲	c=1 d=1 t=5826
qin mi 	亲密	c=2 d=1.00119 t=4096
qin qie 	亲切	c=1 d=1 t=3114
qin shen 	亲身	c=1 d=1 t=6456
qing 	清	c=4 d=2.95628 t=4393
qing 	请	c=7 d=1.51335 t=6821
qing 	轻	c=3 d=1.94649 t=5109
qing chu 	清楚	c=1 d=1 t=6245
qing ge 	请个	c=1 d=1 t=5612
qing gui 	清规	c=1 d=1 t=4467
qing jia 	请假	c=1 d=1 t=1462
qing jie 	清洁	c=2 d=1.00027 t=6417
qing liu 	清流	c=1 d=1 t=3401
qing tian 	晴天	c=1 d=1 t=3808
qing wen 	请问	c=9 d=3.83202 t=5092
qing zhu 	庆祝	c=1 d=1 t=2674
qiu 	邱	c=1 d=1 t=1242
qu 	区	c=1 d=0.1 t=4695
qu 	去	c=19 d=1.27887 t=6604
qu le 	去了	c=2 d=1.79057 t=4328
qu wan 	去玩	c=1 d=1 t=3239
qu xiao 	取消	c=2 d=1 t=6082
qu zhu 	去住	c=1 d=1 t=2909
quan 	全	c=2 d=1 t=4147
quan 	券	c=3 d=2.38799 t=5665
quan 	圈	c=1 d=1 t=570
quan 	拳	c=1 d=1 t=995
quan 	犬	c=1 d=1 t=5810
quan kao 	全靠	c=1 d=1 t=2292
quan ke 	全科	c=1 d=1 t=4143
quan li yi fu 	全力以赴	c=1 d=1 t=3929
quan ming 	全名	c=1 d=1 t=5808
quan quan 	全权	c=1 d=1 t=6468
quan shi 	全是	c=1 d=1 t=1409
quan shi jie 	全世界	c=1 d=1 t=3199
quan tou 	拳头	c=1 d=1 t=4021
quan wu 	全无	c=1 d=1 t=1081
quan zhi quan neng 	全知全能	c=1 d=1 t=4162
que ren 	确认	c=2 d=1.09301 t=2021
que shao 	缺少	c=1 d=1 t=2426
que shi 	确实	c=9 d=1.00271 t=6409
que shi ke yi 	确实可以	c=1 d=1 t=1617
que you qi ren 	确有其人	c=1 d=1 t=4463
que zhen 	确诊	c=1 d=1 t=124
qun 	群	c=0 d=0.1 t=4860
qun zai 	裙仔	c=1 d=1 t=4982
ran hou 	然后	c=9 d=1.00245 t=4847
ran liang 	燃亮	c=1 d=1 t=3802
rang 	让	c=1 d=1 t=2251
rang ni 	让你	c=2 d=1 t=5284
rang wo 	让我	c=1 d=1.06561 t=225
rang wo ti yan 	让我体验	c=1 d=1 t=226
re liang 	热量	c=4 d=1.99005 t=6690
ren 	人	c=19 d=1.22752 t=5859
ren gong 	人工	c=1 d=1.1 t=1418
ren gong fu wu 	人工服务	c=1 d=1 t=1419
ren jia 	人家	c=3 d=1.76721 t=6104
ren ke 	认可	c=1 d=1 t=6488
ren lei 	人类	c=2 d=1.01105 t=3570
ren lei de 	人类的	c=1 d=1 t=3564
ren ma 	人马	c=1 d=1.09851 t=3637
ren ma zhuang 	人马装	c=1 d=1 t=3635
ren qi 	人妻	c=1 d=1 t=1147
ren shou 	人寿	c=1 d=1 t=1214
ren ti 	人体	c=1 d=1 t=3980
ren ti wu gong 	人体蜈蚣	c=2 d=1 t=4412
ren wu 	任务	c=1 d=1 t=6117
ren ya 	刃牙	c=2 d=1.00775 t=1550
ren zheng 	认证	c=1 d=1 t=3400
reng 	扔	c=1 d=1 t=2884
reng diao 	扔掉	c=1 d=1 t=2913
reng diao le 	扔掉了	c=1 d=1 t=5671
reng le 	扔了	c=1 d=1 t=2965
ri 	日	c=1 d=1 t=5291
ri ben 	日本	c=5 d=1.00026 t=6692
ri ben cheng 	日本城	c=1 d=1 t=2781
ri ben ren 	日本人	c=1 d=1 t=2454
ri chang 	日常	c=1 d=1 t=1155
ri dan li zhi 	日啖荔枝	c=1 d=1 t=1712
ri jian 	日间	c=0 d=0.1 t=1221
ri jian zhong xin 	日间中心	c=1 d=1 t=1222
ri qi 	日期	c=3 d=2.26576 t=6516
ri wen 	日文	c=1 d=1 t=1144
rong 	榕	c=1 d=1 t=6084
rong he 	融合	c=1 d=1 t=3003
rong yi 	容易	c=1 d=1 t=1852
rong yi de 	容易的	c=1 d=1 t=694
rou pu tuan 	肉蒲团	c=1 d=1 t=1738
rou ren xing 	柔韧性	c=1 d=1 t=3164
rou rou 	肉肉	c=1 d=1 t=3522
rou wan 	肉丸	c=1 d=1 t=6726
ru 	乳	c=2 d=1 t=6631
ru guo 	如果	c=7 d=1 t=4859
ru guo zhe dou bu suan ai 	如果这都不算爱	c=1 d=1 t=1951
ru he 	如何	c=2 d=1.21331 t=1352
ru he ru he 	如何如何	c=2 d=1.9802 t=2462
ru ji 	入籍	c=1 d=1 t=2577
ru jing 	入境	c=3 d=1.03416 t=6628
ru qin 	入侵	c=1 d=1 t=5206
ru ruo 	如若	c=1 d=1 t=3800
ru shui 	入睡	c=1 d=1 t=1557
rui shi 	瑞士	c=1 d=1 t=3133
run 	润	c=1 d=1 t=6056
run wu xi wu sheng 	润物细无声	c=1 d=1 t=6058
ruo 	若	c=1 d=1 t=1149
san 	散	c=1 d=1 t=2921
san bai 	三百	c=1 d=1 t=6676
san bai ye 	三百页	c=1 d=1 t=1012
san bei 	三倍	c=1 d=1.09277 t=6020
san bei 	三杯	c=1 d=1 t=5905
san bei su 	三倍速	c=2 d=1.86936 t=6034
san ci yuan 	三次元	c=2 d=1 t=4730
san ge 	三个	c=3 d=2.89346 t=6609
san ge ban 	三个半	c=1 d=1 t=5249
san qi si qie 	三妻四妾	c=1 d=1 t=1098
san ren 	散人	c=2 d=1.00022 t=1749
san ren xing 	三人行	c=1 d=1 t=5503
san wei 	三位	c=1 d=1 t=5156
san yue 	三月	c=2 d=1.96079 t=47
sang shi 	丧失	c=1 d=1 t=2105
sao 	骚	c=1 d=1 t=2973
se 	涩	c=1 d=0.124724 t=1068
se 	瑟	c=1 d=1 t=327
se cai 	色彩	c=1 d=1 t=1929
se mo 	色魔	c=1 d=1 t=4214
se se 	瑟瑟	c=1 d=1 t=3953
se tu 	色图	c=0 d=0.1 t=1053
sen 	森	c=1 d=1 t=5535
sha 	啥	c=9 d=1.19893 t=6670
sha de 	啥的	c=4 d=1 t=6218
sha dou 	啥都	c=1 d=1 t=6760
sha hai 	杀害	c=1 d=1 t=5938
sha ren fan 	杀人犯	c=1 d=1 t=5713
sha shi hou 	啥时候	c=2 d=0.1 t=4528
sha wei ma 	沙威玛	c=1 d=1 t=1020
shan 	闪	c=1 d=1 t=5341
shan diao 	删掉	c=2 d=1.99501 t=4965
shan liang 	闪亮	c=1 d=1 t=5343
shan qu 	山区	c=1 d=1 t=3134
shan tui 	删推	c=1 d=1 t=3412
shang 	上	c=12 d=2.66063 t=6371
shang ci 	上次	c=3 d=1 t=6592
shang di de 	上帝的	c=1 d=1 t=3527
shang dian 	商店	c=2 d=1.86071 t=1545
shang mian 	上面	c=2 d=0.100004 t=4442
shang qi 	上期	c=1 d=1 t=5251
shang shen 	上身	c=1 d=1 t=3176
shang shu 	上述	c=2 d=1.85214 t=6510
shang tui 	上推	c=1 d=1 t=3847
shang wang 	上网	c=1 d=1 t=3148
shang xia 	上下	c=1 d=1 t=5388
shang xin 	伤心	c=0 d=0.1 t=2296
shang yao 	上药	c=1 d=1 t=81
shang yuan 	上原	c=1 d=1 t=3674
shang zhou mo 	上周末	c=0 d=0.1 t=3039
shao 	少	c=3 d=1.99501 t=5384
shao bing 	烧饼	c=1 d=1 t=909
shao kao 	烧烤	c=1 d=1 t=6269
shao wei 	稍微	c=2 d=1.956 t=2008
she 	射	c=1 d=1 t=6839
she 	社	c=1 d=1 t=4691
she ji 	设计	c=1 d=1 t=1380
she jiao 	社交	c=2 d=1 t=5666
she ru 	摄入	c=1 d=1 t=827
she shou zuo 	射手座	c=1 d=1 t=1566
she zhang 	社长	c=1 d=1 t=1150
she zhi 	设置	c=1 d=1 t=32
shei shi 	谁是	c=2 d=1.98511 t=4635
shen 	审	c=2 d=1.0299 t=1727
shen 	神	c=2 d=1 t=4605
shen 	身	c=0 d=0.1 t=5065
shen bao 	申报	c=1 d=1 t=3032
shen chu 	身处	c=1 d=1 t=6502
shen fen 	身份	c=1 d=1 t=3924
shen fen zheng 	身份证	c=3 d=1.99039 t=6450
shen gan 	深感	c=1 d=1 t=4597
shen gong 	神宫	c=1 d=1 t=1152
shen jing 	神经	c=1 d=1 t=2601
shen me 	什么	c=15 d=1.69305 t=6540
shen me de 	什么的	c=0 d=0.1 t=6087
shen me de ma 	什么的吗	c=1 d=1 t=6088
shen me dong xi 	什么东西	c=1 d=1 t=1400
shen me ne 	什么呢	c=1 d=1 t=5216
shen me yang 	什么样	c=1 d=1 t=3585
shen mi de 	神秘的	c=1 d=1 t=2644
shen qi 	神奇	c=1 d=1.00505 t=4606
shen qing 	申请	c=8 d=1.00087 t=5586
shen qing ge 	申请个	c=1 d=1 t=2562
shen shang 	身上	c=1 d=1 t=222
shen shen de 	深深地	c=1 d=1 t=5225
shen shou 	伸手	c=0 d=0.1 t=3590
shen shou dang 	伸手党	c=1 d=1 t=3591
shen shuai jie 	肾衰竭	c=1 d=1 t=1173
shen ti 	身体	c=4 d=1 t=5759
shen xin 	身心	c=1 d=1 t=675
shen yun 	神韵	c=1 d=1 t=357
shen zhi 	甚至	c=1 d=1 t=3451
sheng 	生	c=4 d=1.99011 t=4757
sheng 	省	c=1 d=1 t=1651
sheng chan li 	生产力	c=1 d=1 t=2226
sheng cheng 	生成	c=1 d=1 t=4549
sheng huo 	生活	c=1 d=1 t=305
sheng qi 	生气	c=1 d=1 t=6081
sheng shi 	省时	c=1 d=1 t=1484
sheng xia de 	剩下的	c=1 d=1 t=2966
sheng xiu 	生锈	c=1 d=1 t=3349
shi 	实	c=1 d=1 t=2693
shi 	式	c=1 d=1 t=3150
shi 	时	c=10 d=1.00005 t=6323
shi 	是	c=67 d=1.88187 t=6722
shi 	湿	c=2 d=1.99005 t=3944
shi 	石	c=1 d=1 t=4396
shi 	视	c=0 d=0.1 t=2102
shi 	试	c=1 d=1 t=224
shi 	诗	c=0 d=0.1 t=1396
shi ba 	是吧	c=1 d=1 t=5742
shi bu shi 	是不是	c=3 d=1.15259 t=3001
shi cha bu duo de 	是差不多的	c=1 d=1 t=5754
shi chui 	石锤	c=1 d=1 t=2691
shi da 	是大	c=1 d=1 t=5268
shi de 	是的	c=0 d=0.1 t=4859
shi de hua 	是的话	c=1 d=1 t=4860
shi dian 	十点	c=1 d=1 t=3052
shi ge 	是个	c=1 d=1 t=3010
shi he 	适合	c=0 d=0.1 t=6152
shi hou 	时候	c=2 d=0.145275 t=6297
shi huan jue 	视幻觉	c=1 d=1 t=2103
shi ji 	十几	c=2 d=1.14588 t=6046
shi jian 	时间	c=4 d=1.59075 t=3547
shi jie 	世界	c=4 d=1 t=6774
shi jie 	师姐	c=1 d=1 t=963
shi jie shang 	世界上	c=1 d=1 t=4636
shi jin 	失禁	c=2 d=1.99501 t=4681
shi kan 	是看	c=0 d=0.1 t=6167
shi ke yi 	是可以	c=1 d=1 t=3215
shi le 	试了	c=3 d=1.00005 t=4115
shi le shi 	试了试	c=1 d=1 t=2609
shi lian 	试炼	c=1 d=1 t=3663
shi mi si 	史密斯	c=1 d=1 t=686
shi ming 	实名	c=1 d=1 t=3147
shi na 	是哪	c=0 d=0.1 t=4354
shi na ge 	是哪个	c=1 d=1 t=4355
shi ni 	是你	c=1 d=1.05016 t=492
shi ni ma 	是你吗	c=1 d=1 t=5330
shi ni xiao hao 	是你小号	c=1 d=1 t=355
shi ni zi ji 	是你自己	c=1 d=1 t=475
shi pin 	视频	c=1 d=1 t=999
shi pin 	食品	c=1 d=1 t=2232
shi pu tong 	是普通	c=1 d=1 t=1984
shi ren 	诗人	c=1 d=1 t=3957
shi sha 	是啥	c=6 d=0.111448 t=6245
shi shei 	是谁	c=2 d=1.00003 t=4366
shi shen me 	是什么	c=2 d=1 t=4674
shi shen me ne 	是什么呢	c=1 d=1 t=2997
shi shi 	试试	c=3 d=1.00004 t=4108
shi shi hou 	是时候	c=1 d=1 t=6669
shi ti 	尸体	c=1 d=1 t=1259
shi wo 	使我	c=0 d=0.1 t=78
shi wo 	是我	c=6 d=1.00515 t=5973
shi wo de 	是我的	c=1 d=1 t=4332
shi wo kuai le 	使我快乐	c=1 d=1 t=79
shi wu 	失误	c=2 d=1.8825 t=6324
shi wu 	食物	c=4 d=2.63147 t=3650
shi xiang 	事项	c=1 d=1 t=6511
shi xiao gou 	是小狗	c=1 d=1 t=2523
shi xiong 	师兄	c=1 d=1 t=3426
shi ya 	是呀	c=1 d=0.110998 t=3486
shi ye 	视野	c=1 d=1 t=669
shi yi 	事宜	c=1 d=1 t=6473
shi yi 	是一	c=0 d=0.1 t=73
shi yi fang 	是一方	c=1 d=1 t=74
shi yin wei 	是因为	c=1 d=1 t=3049
shi yong 	实用	c=1 d=1 t=276
shi yue 	十月	c=2 d=1.0973 t=3419
shi zha 	使诈	c=0 d=0.1 t=592
shi zhe ge 	是这个	c=1 d=1 t=1030
shi zhe yang 	是这样	c=1 d=1 t=5739
shi zhen 	湿疹	c=3 d=2.9218 t=2515
shi zong le 	失踪了	c=0 d=0.1 t=5170
shou 	收	c=3 d=1.00015 t=5079
shou 	瘦	c=1 d=1 t=6412
shou bi 	手臂	c=1 d=1 t=4821
shou dao 	收到	c=6 d=1.13952 t=3044
shou fei 	收费	c=0 d=0.1 t=503
shou hou 	售后	c=1 d=1 t=5122
shou ji 	手机	c=1 d=1 t=5672
shou le 	瘦了	c=1 d=1 t=1018
shou shang 	受伤	c=0 d=0.1 t=171
shou shang lv 	受伤率	c=1 d=1 t=172
shou shi 	手势	c=2 d=1.8781 t=6260
shou shu 	手术	c=6 d=2.98017 t=5258
